   201526200.000    15004910.879    15948264.553   -26727782.075  -2338.252   3280.351   1382.166 2004.386555  5 21 11 30  0
   201526500.000    14296982.494    16925259.072   -26301514.992  -2381.027   3232.357   1459.590 2004.386565  5 21 11 35  0
   201526800.000    13576448.067    17887326.594   -25852052.625  -2422.269   3180.842   1536.769 2004.386574  5 21 11 40  0
   201527100.000    12843788.962    18833416.177   -25379498.169  -2461.835   3125.845   1613.503 2004.386584  5 21 11 45  0
   201527400.000    12099528.742    19762491.389   -24884015.359  -2499.587   3067.425   1689.590 2004.386593  5 21 11 50  0
   201527700.000    11344231.519    20673536.682   -24365829.444  -2535.393   3005.661   1764.823 2004.386603  5 21 11 55  0
   201528000.000    10578528.000    21565536.000   -23825267.000  -2569.127   2940.657   1838.991 2004.386612  5 21 12  0  0
   201528300.000     9803001.046    22437590.720   -23262599.357  -2600.680   2872.533   1911.899 2004.386622  5 21 12  5  0
   201528600.000     9018349.023    23288757.814   -22678274.125  -2629.944   2801.432   1983.342 2004.386631  5 21 12 10  0
   201528900.000     8225272.345    24118168.120   -22072760.127  -2656.830   2727.516   2053.126 2004.386640  5 21 12 15  0
   201529200.000     7424496.941    24925003.682   -21446583.275  -2681.257   2650.965   2121.064 2004.386650  5 21 12 20  0
   201529500.000     6616770.146    25708502.805   -20800323.795  -2703.163   2571.973   2186.982 2004.386659  5 21 12 25  0
   201529800.000     5802856.359    26467964.538   -20134612.888  -2722.497   2490.751   2250.714 2004.386669  5 21 12 30  0
   201530100.000     4983532.532    27202752.536   -19450128.865  -2739.225   2407.519   2312.112 2004.386678  5 21 12 35  0
   201530400.000     4159583.569    27912298.225   -18747592.844  -2753.329   2322.508   2371.040 2004.386688  5 21 12 40  0
   201530700.000     3331797.700    28596103.237   -18027764.056  -2764.806   2235.955   2427.379 2004.386697  5 21 12 45  0
   201531000.000     2500961.923    29253741.087   -17291434.870  -2773.665   2148.101   2481.027 2004.386707  5 21 12 50  0
   201531300.000     1667857.558    29884858.083   -16539425.599  -2779.935   2059.190   2531.900 2004.386716  5 21 12 55  0
   201531600.000      833256.014    30489173.490   -15772579.197  -2783.654   1969.464   2579.931 2004.386726  5 21 13  0  0
   201531900.000       -2085.216    31066478.958   -14991755.920  -2784.876   1879.163   2625.072 2004.386735  5 21 13  5  0
   201532200.000     -837426.238    31616637.278   -14197828.032  -2783.665   1788.521   2667.292 2004.386745  5 21 13 10  0
   201532500.000    -1672048.116    32139580.494   -13391674.654  -2780.095   1697.766   2706.575 2004.386754  5 21 13 15  0
   201532800.000    -2505255.848    32635307.463   -12574176.796  -2774.252   1607.115   2742.923 2004.386764  5 21 13 20  0
