   693221328      22200.3     -17428.5     -2.75125
   693221628      23500.7     -16866.7     -140.871
   693221928      24766.4     -16282.4     -268.720
   693222228      25997.9     -15678.9     -384.543
   693222528      27196.2     -15059.3     -486.546
   693222828      28362.0     -14426.4     -572.885
   693223128      29496.1     -13783.3     -641.751
   693223428      30599.8     -13132.9     -691.210
   693223728      31673.9     -12478.1     -719.375
   693224028      32718.9     -11822.2     -724.452
   693224328      33736.3     -11168.1     -704.334
   693224628      34726.6     -10519.4     -657.225
   693224928      35691.0     -9879.53     -581.148
   693225228      36630.2     -9252.36     -474.407
   693225528      37545.1     -8641.82     -335.260
   693225828      38436.4     -8052.29     -162.299
   693226128      39304.9     -7488.29      45.6930
   693226428      40151.5     -6954.62      289.525
   693226728      40976.9     -6456.07      569.719
   693227028      41781.7     -5997.77      886.146
   693227328      42566.6     -5584.72      1238.02
   693227628      43332.2     -5221.86      1623.94
   693227928      44079.1     -4913.60      2041.93
   693228228      44808.1     -4664.05      2489.30
   693228528      45519.4     -4476.75      2962.48
   693228828      46214.0     -4354.12      3457.87
   693229128      46892.1     -4298.07      3970.88
   693229428      47554.4     -4309.31      4496.85
   693229728      48201.1     -4387.61      5030.89
   693230028      48833.0     -4531.64      5568.56
   693230328      49450.2     -4739.33      6105.02
   693230628      50053.4     -5007.67      6636.38
   693230928      50642.8     -5333.20      7158.81
   693231228      51218.8     -5711.79      7669.22
   693231528      51781.9     -6139.20      8165.29
   693231828      52332.3     -6610.98      8644.59
   693232128      52870.6     -7122.68      9106.23
   693232428      53397.0     -7670.05      9548.95
   693232728      53911.7     -8248.87      9972.21
   693233028      54415.1     -8855.32      10375.7
   693233328      54907.4     -9485.84      10759.5
   693233628      55389.0     -10137.2      11124.2
   693233928      55860.1     -10806.5      11470.0
   693234228      56320.9     -11490.9      11797.4
   693234528      56771.9     -12188.5      12107.5
   693234828      57213.1     -12896.9      12400.5
   693235128      57644.8     -13614.4      12677.4
   693235428      58067.2     -14339.5      12939.0
   693235728      58480.6     -15070.9      13185.9
   693236028      58885.1     -15807.2      13418.7
   693236328      59281.0     -16547.6      13638.3
   693236628      59668.3     -17291.1      13844.8
   693236928      60047.5     -18036.9      14039.4
   693237228      60418.5     -18784.3      14222.0
   693237528      60781.6     -19533.0      14393.6
   693237828      61137.0     -20282.2      14554.4
   693238128      61484.7     -21031.7      14704.8
