2020-163-14:25:01  7172.5 5385.5 1 8895 3134.25 1.75 216.5
2020-163-14:25:05  7084.5 5312.5 1 8765 3113.75 2.25 222
2020-163-14:25:09  6978.5 5257.5 0.5 8779 3137.25 1.75 224
2020-163-14:25:13  6848.5 5146.5 0.75 8721 3120.75 1.5 245.25
2020-163-14:25:17  6891.5 5210.5 0.5 8687 3098.25 2.5 230
2020-163-14:25:21  6770.5 5072.5 0.5 8573 3079.25 1.25 227.75
2020-163-14:25:25  6777.5 5090.5 1.75 8511 3055.25 2 216
2020-163-14:25:33  6604.5 4942.5 0.75 8495 3029.25 2.5 239.5
2020-163-14:25:37  6512.5 4874.5 1.25 8319 2974.75 1.25 230
2020-163-14:25:41  6477.5 4830.5 1.25 8337 3008.25 2.75 242.25
2020-163-14:25:45  6289.5 4714.5 1 8337 3007.75 3.25 224.75
2020-163-14:25:49  6439.5 4788.5 0.75 8225 2998.75 2 239
2020-163-14:25:53  6216.5 4649.5 1.5 8187.5 2971.25 1.5 224.75
2020-163-14:25:57  6230.5 4654.5 0.75 8056.5 2916.75 2 235.75
2020-163-14:26:01  6077.5 4538.5 1.5 7991.5 2912.25 3 229.75
2020-163-14:26:05  6028.5 4512.5 1.25 7970.5 2926.25 1.75 223
2020-163-14:26:09  5970.5 4483.5 1.5 8012.5 2925.25 1.75 226.75
2020-163-14:26:13  5884.5 4380.5 1 7784.5 2820.25 2 233.25
2020-163-14:26:17  5835.5 4366.5 1.25 7841.5 2873.25 4 226
2020-163-14:26:21  5742.5 4305.5 1.25 7740.5 2838.75 1.5 238.75
2020-163-14:26:25  5687.5 4251.5 0.5 7736.5 2855.25 1.25 235.25
2020-163-14:26:29  5635.5 4202.5 0.5 7639.5 2847.25 2 219.5
2020-163-14:26:33  5423.5 4046.25 1.75 7571.5 2787.25 2.25 223.25
2020-163-14:26:37  5410.5 4079.75 1.25 7525.5 2796.25 1.75 232.75
2020-163-14:26:41  5426.5 4061.75 0.75 7601.5 2870.25 2 234.25
2020-163-14:26:45  5293.5 3963.75 1.25 7451.5 2783.75 2 232
2020-163-14:26:49  5295.5 3945.75 0.5 7441.5 2779.75 2.5 221.75
2020-163-14:26:53  5239.5 3939.75 0.5 7340.5 2741.75 2.5 217.5
2020-163-14:26:57  5187.5 3882.75 1 7292.5 2725.75 2 223.5
2020-163-14:27:01  5150.5 3856.75 1.25 7411.5 2761.25 2.75 216
2020-163-14:27:05  4980.5 3705.75 2 7168.5 2683.75 2.75 235.5
2020-163-14:27:09  4996.5 3724.75 0.75 7168.5 2702.75 1.5 222.75
2020-163-14:27:13  4942.5 3672.25 1.75 7076.5 2664.25 1.75 229.5
2020-163-14:27:17  4878.5 3624.25 1.25 7044.5 2641.25 2.5 221
2020-163-14:27:21  4811.5 3598.75 1.75 7024.5 2648.25 2.25 229.75
2020-163-14:27:25  4714.5 3513.75 1.5 6917.5 2671.75 3 227
2020-163-14:27:29  4682.5 3482.25 1.25 6950.5 2595.75 1.75 229.5
2020-163-14:27:33  4582.5 3413.75 0.75 6866.5 2585.75 2.75 223.5
2020-163-14:27:37  4599.5 3417.25 1.5 6862.5 2624.75 2.5 244.75
2020-163-14:27:41  4507.5 3310.75 0.75 6793.5 2586.25 2 213.25
2020-163-14:27:45  4486.5 3328.75 0.25 6800.5 2583.75 1.5 224.75
2020-163-14:27:49  4445.5 3267.25 2 6680.5 2572.25 1 217
2020-163-14:27:53  4321.5 3184.75 1.25 6603.5 2544.25 2.75 230
2020-163-14:27:57  4308.5 3200.75 0.5 6660.5 2545.25 2.25 227.5
2020-163-14:28:01  4262.5 3121.75 0.75 6593.5 2524.25 2.5 225.5
2020-163-14:28:05  4224.5 3104.75 1.5 6589.5 2538.75 3 235
2020-163-14:28:09  4106.5 3043.25 0.75 6547.5 2516.75 2.75 234.75
2020-163-14:28:13  4108.5 3034.25 1 6445.5 2494.25 2.5 227.75
2020-163-14:28:17  4065.25 2998.25 1 6440.5 2433.75 2 217.5
2020-163-14:28:21  3963.25 2918.75 1.75 6406.5 2483.25 2.5 226.5
2020-163-14:28:25  3975.25 2934.75 0.75 6422.5 2501.25 2.25 240
2020-163-14:28:29  3914.75 2871.75 1.5 6331.5 2464.75 1.5 237.75
2020-163-14:28:33  3848.25 2829.25 1.5 6314.5 2487.75 2 220.25
2020-163-14:28:37  3823.25 2840.75 2 6325.5 2475.75 1.5 227.75
2020-163-14:28:41  3823.25 2813.25 0.5 6278.5 2437.75 1.75 234
2020-163-14:28:45  3780.75 2810.75 0.75 6221.5 2467.25 2.25 235.5
2020-163-14:28:49  3696.25 2699.75 1.25 6122.5 2433.25 2.25 214.5
2020-163-14:28:53  3615.25 2688.75 0.75 6194.5 2441.75 1.75 233.75
2020-163-14:28:57  3662.75 2709.25 0.5 6144.5 2427.75 2 217.25
2020-163-14:29:01  3528.25 2602.25 2.25 6155.5 2449.75 2 221
2020-163-14:29:05  3605.75 2676.25 1 6147.5 2420.75 3 229
2020-163-14:29:09  3493.25 2569.75 0.5 6027.5 2352.75 2.5 225.5
2020-163-14:29:13  3456.25 2560.25 1 6007.5 2401.75 3 221.5
2020-163-14:29:17  3389.75 2492.75 2.25 6055.5 2370.25 1.25 235.75
2020-163-14:29:21  3403.75 2509.75 1 5975.5 2351.75 1.75 224
2020-163-14:29:25  3302.75 2441.25 1.25 5930.5 2359.25 1.25 221.5
2020-163-14:29:33  3249.75 2397.75 0.75 5919.5 2325.25 2.5 219.75
2020-163-14:29:41  3202.25 2352.75 2.5 5805.5 2306.25 2.5 218.25
2020-163-14:29:45  3173.25 2342.25 1 5728.5 2309.75 2.75 225
2020-163-14:29:49  3170.25 2350.75 1.5 5679.5 2285.25 1.75 215.75
2020-163-14:29:53  3093.25 2275.25 1.5 5719.5 2274.25 1.75 220
2020-163-14:29:57  3001.25 2225.25 1.5 5650.5 2264.75 3.25 223.5
2020-163-14:30:01  3013.75 2222.75 1 5634.5 2245.25 2.5 229.25
2020-163-14:30:09  2921.25 2158.75 2.25 5646.5 2264.75 2 221.25
2020-163-14:30:13  2876.75 2098.25 1 5512.5 2198.75 3.75 214
2020-163-14:30:17  2833.75 2059.75 1.75 5519.5 2190.75 3 221.75
2020-163-14:30:21  2785.75 2049.25 1.5 5505.5 2203.75 1.5 218.25
2020-163-14:30:25  2814.75 2081.25 0.5 5518.5 2226.25 3 218
2020-163-14:30:29  2789.75 2047.75 1.25 5478.5 2203.25 1.5 215.5
2020-163-14:30:33  2675.75 1961.25 1.5 5410.5 2200.75 0.75 233.5
2020-163-14:30:37  2673.75 1981.5 1 5396.5 2137.75 3.5 224.5
2020-163-14:30:41  2642.25 1925.25 2 5415.5 2186.25 4.25 212
2020-163-14:30:45  2584.25 1905.25 0.5 5384.5 2206.25 2.75 220.75
2020-163-14:30:49  2569.75 1895.75 0.75 5362.5 2170.25 1.75 208.75
2020-163-14:30:53  2623.25 1919.75 1.25 5299.5 2135.75 3 207
2020-163-14:30:57  2481.75 1813 2.5 5291.5 2152.25 3 223.5
2020-163-14:31:01  2458.75 1797.25 0.5 5300.5 2161.25 2.25 215.5
2020-163-14:31:05  2433.25 1786.75 1.25 5217.5 2116.75 4.5 216.25
2020-163-14:31:09  2389.75 1741.75 1.25 5300.5 2168.25 1.25 222.75
2020-163-14:31:13  2378.25 1749.75 0.75 5227.5 2105.75 1.75 216.75
2020-163-14:31:17  2337.75 1715.75 0.25 5214.5 2142.75 2 220.5
2020-163-14:31:21  2304.75 1700.5 1.75 5123.5 2111.75 1.75 224.25
2020-163-14:31:25  2272.75 1687 1 5164.5 2117.25 2.25 224
2020-163-14:31:29  2252.25 1651 0.5 5151.5 2097.25 2 224.5
2020-163-14:31:33  2224.25 1621.25 0.75 5031.5 2070.75 2.75 212.25
2020-163-14:31:37  2222.25 1640.75 1.75 5018.5 2041 2.75 221.5
2020-163-14:31:41  2179.75 1614.5 1.25 5038.5 2083.75 0.5 200
2020-163-14:31:45  2202.75 1628.75 1 4993.5 2075.25 0.75 202.5
2020-163-14:31:49  2123.25 1563.5 1 4996.5 2050.25 3 216.5
2020-163-14:31:53  2128.25 1578.75 1.75 4961.5 2039.25 2.5 203
2020-163-14:31:57  2089.75 1562.5 1 4937.5 2020 2.25 197.5
2020-163-14:32:01  1999 1474 1.25 4898.5 2011 1.25 209.75
